nameRo,nameEn,smallBottles,largeBottles
Adaptiv (Amestec calmant),Adaptiv,1,0
Air (Amestec respirator),Air,1,0
AromaTouch (Amestec pentru masaj),AromaTouch,1,0
Balance (Amestec pentru impamantare),Balance,1,0
Brad Balsamic,Balsam Fir,2,0
Busuioc,Basil,0,2
Bergamota,Bergamot,1,0
Cardamom,Cardamom,1,0
Scortisoara,Cinnamon,3,0
Citronela,Citronella,0,1
Citrus Bliss (Amestec revigorant),Citrus Bliss,1,0
Salvie Tamaioasa,Clary Sage,0,2
Cuisoare,Clove,2,0
Deep Blue (Amestec calmant),Deep Blue,1,0
Marar,Dill,1,0
Brad Douglas,Douglas Fir,1,0
Fenicul,Fennel,1,0
Forest Breeze (Amestec forestier),Forest Breeze,1,0
Tamaie,Frankincense,1,3
Muscata (Geraniu),Geranium,0,4
Ghimbir,Ginger,0,1
Grepfrut,Grapefruit,1,0
Mandarina Verde,Green Mandarin,1,0
Imortele (Helichrysum),Helichrysum,1,0
Boabe de Ienupar,Juniper Berry,1,0
Lavanda,Lavender,1,2
Lamaie,Lemon,1,2
Lemongrass,Lemongrass,2,0
Limeta,Lime,2,0
Maghiran,Marjoram,1,0
Melaleuca,Melaleuca,1,0
MetaPWR (Amestec metabolic),MetaPWR,2,0
Smirna,Myrrh,2,0
Northern Escape,Northern Escape,1,0
On Guard (Amestec protector),On Guard,1,3
Oregano,Oregano,1,2
Palmarosa,Palmarosa,2,0
Paciuli,Patchouli,0,1
Menta,Peppermint,1,1
Petitgrain,Petitgrain,1,0
Musetel Roman,Roman Chamomile,1,0
Rozmarin,Rosemary,2,0
Brad Siberian,Siberian Fir,1,0
Mandarina,Tangerine,1,0
Arbore de Ceai,Tea Tree,2,0
TerraShield,TerraShield,0,2
Cimbru,Thyme,2,0
Vanilie de Madagascar,Madagascar Vanilla,1,0
Vetiver,Vetiver,1,0
Grepfrut Alb,White Grapefruit,2,0
Portocala Salbatica,Wild Orange,2,0
Wintergreen,Wintergreen,1,0
Ylang Ylang,Ylang Ylang,1,0
Zendocrine (Amestec detoxifiant),Zendocrine,1,0
ZenGest (Amestec digestiv),ZenGest,0,2
